iteration,total_reward
48,3.8999999999999986
67,0.8000000000000005
117,3.8999999999999986
136,0.8000000000000005
155,0.8000000000000005
174,0.8000000000000005
224,3.8999999999999986
287,6.099999999999994
306,0.8000000000000005
356,3.8999999999999986
375,0.8000000000000005
394,0.8000000000000005
413,0.8000000000000005
463,3.8999999999999986
530,6.499999999999993
549,0.8000000000000005
601,4.099999999999998
620,0.8000000000000005
639,0.8000000000000005
689,3.8999999999999986
708,0.8000000000000005
727,0.8000000000000005
777,3.8999999999999986
796,0.8000000000000005
846,3.8999999999999986
896,3.8999999999999986
915,0.8000000000000005
950,2.4000000000000017
969,0.8000000000000005
988,0.8000000000000005
1007,0.8000000000000005
1057,3.8999999999999986
1076,0.8000000000000005
1129,4.1999999999999975
1148,0.8000000000000005
1198,3.8999999999999986
1263,6.299999999999994
1282,0.8000000000000005
1332,3.8999999999999986
1351,0.8000000000000005
1401,3.8999999999999986
1439,2.700000000000002
1489,3.8999999999999986
1508,0.8000000000000005
1527,0.8000000000000005
1546,0.8000000000000005
1581,2.4000000000000017
1600,0.8000000000000005
1635,2.4000000000000017
1685,3.8999999999999986
1704,0.8000000000000005
1756,4.099999999999998
1806,3.8999999999999986
1825,0.8000000000000005
1886,4.999999999999995
1905,0.8000000000000005
1924,0.8000000000000005
1943,0.8000000000000005
1978,2.4000000000000017
2028,3.8999999999999986
2079,3.9999999999999982
2098,0.8000000000000005
2153,4.399999999999997
2203,3.8999999999999986
2222,0.8000000000000005
2282,4.899999999999995
2333,3.9999999999999982
2352,0.8000000000000005
2402,3.8999999999999986
2421,0.8000000000000005
2440,0.8000000000000005
2494,4.299999999999997
2555,4.999999999999995
2605,3.8999999999999986
2655,3.8999999999999986
2674,0.8000000000000005
2724,3.8999999999999986
2760,2.5000000000000018
2810,3.8999999999999986
2860,3.8999999999999986
2914,4.299999999999997
2964,3.8999999999999986
3017,4.1999999999999975
3067,3.8999999999999986
3117,3.8999999999999986
3153,2.5000000000000018
3203,3.8999999999999986
3253,3.8999999999999986
3303,3.8999999999999986
3353,3.8999999999999986
3372,0.8000000000000005
3422,3.8999999999999986
3478,4.4999999999999964
3533,4.399999999999997
3552,0.8000000000000005
3571,0.8000000000000005
