C:\Users\longl\AppData\Local\Programs\Python\Python39\python.exe D:\pycharm_projecs\COG403-FlappyBird-AI\dqn_kevin_tryout.py
pygame 2.0.3 (SDL 2.0.16, Python 3.9.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
D:\pycharm_projecs\COG403-FlappyBird-AI\dqn_kevin_tryout.py:55: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  torch.nn.init.uniform(net.weight, -0.01, 0.01)
D:\pycharm_projecs\COG403-FlappyBird-AI\dqn_kevin_tryout.py:58: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  torch.nn.init.uniform(net.weight, -0.01, 0.01)
iteration: 30 elapsed time: 2.455326795578003 epsilon: 0.07499891394945697 action: 0 reward: 0.1 Q max: 0.011289011 score: [0, 30] location: pm7
iteration: 300 elapsed time: 11.502107381820679 epsilon: 0.07498880244440122 action: 0 reward: 0.1 Q max: 0.010620374 score: [4, 294] location: pm7
iteration: 3000 elapsed time: 101.96024656295776 epsilon: 0.07488768739384369 action: 0 reward: 0.1 Q max: 0.013805809 score: [4, 294] location: pm7 mem_q_val: 0.3670905325561762 y_batch: 2.452966384589672
iteration: 3000 elapsed time: 101.96822834014893 epsilon: 0.07488768739384369 action: 0 reward: 0.1 Q max: 0.013805809 score: [4, 294] location: pm7 mem_q_val: 0.3670905325561762 y_batch: 2.452966384589672
iteration: 6000 elapsed time: 202.3822317123413 epsilon: 0.07477533733766867 action: 0 reward: 0.1 Q max: 0.061791785 score: [4, 294] location: pm7 mem_q_val: 1.8886615224182606 y_batch: 3.9963898211717606
iteration: 9000 elapsed time: 302.8586721420288 epsilon: 0.07466298728149363 action: 0 reward: 0.1 Q max: 0.10036173 score: [4, 294] location: pm7 mem_q_val: 3.1316111627966166 y_batch: 7.279459357261658
iteration: 10000 elapsed time: 336.323823928833 epsilon: 0.07462553726276863 action: 0 reward: -1.0 Q max: 0.110506035 score: [4, 294] location: pm7
iteration: 12000 elapsed time: 403.23045778274536 epsilon: 0.07455063722531861 action: 0 reward: 0.1 Q max: 0.1249785 score: [4, 294] location: pm7 mem_q_val: 3.8967169914394617 y_batch: 5.935590207576752
iteration: 15000 elapsed time: 503.6707353591919 epsilon: 0.07443828716914358 action: 0 reward: 0.1 Q max: 0.1385266 score: [4, 294] location: pm7 mem_q_val: 3.7387731932103634 y_batch: 7.588522911071777
iteration: 18000 elapsed time: 604.2680962085724 epsilon: 0.07432593711296856 action: 0 reward: 0.1 Q max: 0.14368866 score: [4, 294] location: pm7 mem_q_val: 4.598037242889404 y_batch: 7.752057075500488
iteration: 21000 elapsed time: 704.603967666626 epsilon: 0.07421358705679353 action: 0 reward: 0.1 Q max: 0.14548331 score: [4, 294] location: pm7 mem_q_val: 4.532709993422031 y_batch: 6.564882844686508
iteration: 24000 elapsed time: 804.8563838005066 epsilon: 0.07410123700061849 action: 0 reward: 0.1 Q max: 0.1470666 score: [4, 294] location: pm7 mem_q_val: 4.451905217021704 y_batch: 7.85906982421875
iteration: 27000 elapsed time: 905.1786460876465 epsilon: 0.07398888694444347 action: 0 reward: 0.1 Q max: 0.14794718 score: [4, 294] location: pm7 mem_q_val: 4.734309673309326 y_batch: 6.640498995780945
iteration: 30000 elapsed time: 1005.5746712684631 epsilon: 0.07387653688826844 action: 0 reward: 0.1 Q max: 0.14824814 score: [4, 294] location: pm7 mem_q_val: 4.615208320319653 y_batch: 6.649734944105148
